treatment_group,control_group,bias,ess,elapsed,cpu_time
152909102,101907107,0.25342564553357366,0.008064516129032258,0.07800000000008822,0.07600000000002183
152909102,101907125,1.125861873164754,0.008333333333333333,0.08399999999994634,0.08500000000005992
152909102,101907130,0.4299529002412945,0.008064516129032258,0.09400000000005093,0.09299999999996089
152909102,101907131,0.3960405782543597,0.00847457627118644,0.08299999999996999,0.08299999999996999
152909102,101907134,0.41766210023841743,0.008064516129032258,0.09000000000003183,0.08900000000005548
152909102,101907140,0.2246231744910276,0.008064516129032258,0.08999999999991815,0.08999999999994213
152909102,101907149,0.7157528804095643,0.008064516129032258,0.10400000000004184,0.10300000000006548
152909102,101907155,0.17201536879318005,0.008064516129032258,0.10900000000003729,0.1089999999999236
152909102,101907156,0.08786298047294823,0.008064516129032258,0.09699999999997999,0.09600000000000364
152909102,101908104,0.2551025052660853,0.008064516129032258,0.08499999999992269,0.08500000000003638
152909102,101910106,0.02532799305082154,0.010638297872340425,0.07200000000000273,0.07100000000002638
152909102,101910108,0.7799079683378027,0.008064516129032258,0.09900000000004638,0.0989999999999327
152909102,101912110,0.7332641209797379,0.024390243902439025,0.06100000000003547,0.06000000000005912
152909102,101912132,0.6071268232508661,0.011764705882352941,0.06799999999998363,0.06700000000000728
152909102,101912155,0.23980416604311086,0.023809523809523808,0.057999999999992724,0.05899999999996908
152909102,101912157,0.26012538131330215,0.013513513513513514,0.07799999999997453,0.07699999999999818
152909102,101912179,0.743764660453115,0.01639344262295082,0.06500000000005457,0.06500000000005457
152909102,101912199,0.34969434253840126,0.009900990099009901,0.07799999999997453,0.07699999999999818
152909102,101912203,0.5778892851348321,0.02,0.05999999999994543,0.05999999999994543
152909102,101912273,1.2639103631154183,0.011764705882352941,0.07400000000006912,0.07400000000006912
152909102,101912275,1.2513418982682267,0.008064516129032258,0.09600000000000364,0.09600000000000364
152909102,101912358,1.1555439448347853,0.0125,0.06999999999993634,0.06899999999995998
152909102,101912372,0.6324642763712082,0.008064516129032258,0.08600000000001273,0.08600000000001273
